"flag","name",
"$CLASS_MCGUFFIN","Библиотекарь",
"$CLASS_MCGUFFIN_PL","Библиотекари",
"$CLASS_KNIGHT","Рыцарь",
"$CLASS_KNIGHT_PL","Рыцари",
"$CLASS_RANGER","Лучник",
"$CLASS_RANGER_PL","Лучники",
"$CLASS_BERSERKER","Берсерк",
"$CLASS_BERSERKER_PL","Берсерки",
"$CLASS_HEALER","Целитель",
"$CLASS_HEALER_PL","Целители",
"$CLASS_MAGE","Маг льда",
"$CLASS_MAGE_PL","Маги льда",
"$CLASS_DRAGON","Дракон",
"$CLASS_DRAGON_PL","Драконы",
"$CLASS_SORCEROR","Колдун",
"$CLASS_SORCEROR_PL","Колдуны",
"$CLASS_ANTIMCGUFFIN","Колдунья",
"$CLASS_ANTIMCGUFFIN_PL","Колдуньи",
"$SKILL_MCGUFFIN_A_LIGHTNING","Молния",
"$SKILL_MCGUFFIN_A_FRENZY","Неистовство",
"$SKILL_MCGUFFIN_A_HEALING","Лечение",
"$SKILL_MCGUFFIN_A_CRYSTAL","Кристалл",
"$SKILL_MCGUFFIN_A_PUSHBACK","Отталкивание",
"$SKILL_MCGUFFIN_A_DRAGON_FIRE","Драконий огонь",
"$SKILL_MCGUFFIN_A_LIGHTNING_DESC","Deals $X damage to a single enemy. Burns off psi, reducing psi reward of the enemy.",
"$SKILL_MCGUFFIN_A_FRENZY_DESC","Raises attack rate of ALL defenders by $X% for $Y seconds.",
"$SKILL_MCGUFFIN_A_HEALING_DESC","Heals all defenders for $X HP.",
"$SKILL_MCGUFFIN_A_CRYSTAL_DESC","Places crystal that deals $X damage to foes within $Y tiles. Explodes in $Z seconds, or on lightning strike.",
"$SKILL_MCGUFFIN_A_PUSHBACK_DESC","Pushes enemies $X tiles back towards the start of the maze.",
"$SKILL_MCGUFFIN_A_DRAGON_FIRE_DESC","Deals $X damage to all enemies on screen and sets them on fire for $Y seconds.",
"$SKILL_MCGUFFIN_fake_attackEXPLOSION","Взрыв",
"$SKILL_ANTIMCGUFFIN_A_LIGHTNING","Молния",
"$SKILL_ANTIMCGUFFIN_A_HEALING","Лечение",
"$SKILL_ANTIMCGUFFIN_A_FRENZY","Неистовство",
"$SKILL_ANTIMCGUFFIN_A_CRYSTAL","Кристалл",
"$SKILL_ANTIMCGUFFIN_A_PUSHBACK","Отталкивание",
"$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE","Драконий огонь",
"$SKILL_ANTIMCGUFFIN_A_LIGHTNING_DESC","Deals $X damage to a single enemy. Burns off psi, reducing psi reward of the enemy.",
"$SKILL_ANTIMCGUFFIN_A_FRENZY_DESC","Raises attack rate of ALL defenders by $X% for $Y seconds.",
"$SKILL_ANTIMCGUFFIN_A_HEALING_DESC","Heals all defenders for $X HP.",
"$SKILL_ANTIMCGUFFIN_A_CRYSTAL_DESC","Places crystal that deals $X damage to foes within $Y tiles. Explodes in $Z seconds, or on lightning strike.",
"$SKILL_ANTIMCGUFFIN_A_PUSHBACK_DESC","Pushes enemies $X tiles back towards the start of the maze.",
"$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE_DESC","Deals $X damage to all enemies on screen and sets them on fire for $Y seconds.",
"$SKILL_SORCEROR_A_LIGHTNING-Z","Молния",
"$SKILL_SORCEROR_A_HEALING-Z","Лечение",
"$SKILL_SORCEROR_A_FRENZY-Z","Неистовство",
"$SKILL_SORCEROR_A_PUSHBACK-Z","Отталкивание",
"$SKILL_SORCEROR_A_DRAGON_FIRE-Z","Драконий огонь",
"$SKILL_SORCEROR_A_LIGHTNING_DESC","Deals $X damage to a single enemy. Burns off psi, reducing psi reward of the enemy.",
"$SKILL_SORCEROR_A_FRENZY-Z_DESC","Raises attack rate of ALL defenders by $X% for $Y seconds.",
"$SKILL_SORCEROR_A_HEALING-Z_DESC","Heals all defenders for $X HP.",
"$SKILL_SORCEROR_A_PUSHBACK-Z_DESC","Pushes enemies $X tiles back towards the start of the maze.",
"$SKILL_SORCEROR_A_DRAGON_FIRE-Z_DESC","Deals $X damage to all enemies on screen and sets them on fire for $Y seconds.",
"$SKILL_KNIGHT_A_SWING","Взмах",
"$SKILL_KNIGHT_P_ARMOR_PIERCE","Пробивание брони",
"$SKILL_KNIGHT_A_SMASH","Сокрушение",
"$SKILL_KNIGHT_P_ARMOR_BREAK","Ослабление брони",
"$SKILL_KNIGHT_P_ARMOR_TRAINING","Ношение брони",
"$SKILL_KNIGHT_P_HARD_KNOCK","Грубый удар",
"$SKILL_KNIGHT_A_COUNTER","Контратака",
"$SKILL_KNIGHT_A_LUNGE","Выпад",
"$SKILL_KNIGHT_P_STUN_STAB","Оглушающий удар",
"$SKILL_KNIGHT_P_SWORD_TRAINING","Владение мечом",
"$SKILL_KNIGHT_A_CLEAVE","Рассечение",
"$SKILL_BERSERKER_A_SLASH","Режущий удар",
"$SKILL_BERSERKER_A_DOUBLE_HIT","Двойной удар",
"$SKILL_BERSERKER_P_SWIFTNESS","Быстрота",
"$SKILL_BERSERKER_A_FLURRY","Шквал",
"$SKILL_BERSERKER_P_RESILIENCE","Быстрое восстановление",
"$SKILL_BERSERKER_A_SWIPE","Сильный удар",
"$SKILL_BERSERKER_P_RAGE","Ярость",
"$SKILL_BERSERKER_P_REFLEXES","Рефлексы",
"$SKILL_BERSERKER_P_MADNESS","Бешенство",
"$SKILL_BERSERKER_A_WHIRLWIND","Вихрь",
"$SKILL_HEALER_A_AID","Помощь",
"$SKILL_HEALER_A_ETHER_FLASH","Небесная вспышка",
"$SKILL_HEALER_P_BULK_UP","Усиление",
"$SKILL_HEALER_P_BLINDING","Ослепление",
"$SKILL_HEALER_A_GROUP_HEAL","Массовое лечение",
"$SKILL_HEALER_A_HOLY_LIGHT","Святой свет",
"$SKILL_HEALER_A_ZEAL","Рвение",
"$SKILL_HEALER_P_INSPIRE","Воодушевление",
"$SKILL_MAGE_A_ICE_BALL","Ледяной шар",
"$SKILL_MAGE_P_CHILL","Холод",
"$SKILL_MAGE_A_ICE_SHARD","Осколки льда",
"$SKILL_MAGE_P_FREEZE","Заморозка",
"$SKILL_MAGE_A_SLEET","Град",
"$SKILL_MAGE_P_ICE_SPEAR","Ледяное копье",
"$SKILL_MAGE_A_ICE_SPLASH","Брызги льда",
"$SKILL_MAGE_A_BLIZZARD","Снежная буря",
"$SKILL_DRAGON_A_BITE","Укус",
"$SKILL_DRAGON_A_CLAW","Когти",
"$SKILL_DRAGON_P_EPIC_HALITOSIS","Зловонное дыхание",
"$SKILL_DRAGON_A_FIRE_BREATH","Огненное дыхание",
"$SKILL_DRAGON_P_STRENGTH","Сила",
"$SKILL_DRAGON_A_ROAR","Рев",
"$SKILL_DRAGON_P_FATTEN_UP","Кормежка",
"$SKILL_DRAGON_P_NOM","Ням-ням",
"$SKILL_DRAGON_A_FIRE_BALL","Огненный шар",
"$SKILL_RANGER_A_BASIC_SHOT","Обычный выстрел",
"$SKILL_RANGER_P_SHARP_SHOOTER","Меткий выстрел",
"$SKILL_RANGER_A_TRIPLE_SHOT","Тройной выстрел",
"$SKILL_RANGER_P_DEEP_SHOT","Глубокий выстрел",
"$SKILL_RANGER_A_RAPID_SHOT","Быстрый выстрел",
"$SKILL_RANGER_P_RANGE_FOCUS","Радиус поражения",
"$SKILL_RANGER_P_PIERCING_SHOT","Пронзающий выстрел",
"$SKILL_RANGER_P_POISON_SHOT","Ядовитый выстрел",
"$SKILL_RANGER_A_SPREAD_SHOT","Мульти-выстрел",
"$SKILL_RANGER_A_BLACK_OUT_THE_SUN","Солнечное затмение",
"$TYPE_RANGED","Ranged",
"$TYPE_MELEE","Melee",
"$TYPE_ULTIMATE","Ultimate",
"$BLURB_BERSERKER","Fastest attacks.<N>Quickly hits many targets for medium damage.<N>Best against groups of weak enemies!",
"$BLURB_RANGER","Best range.<N>Hits targets from far away for light damage.<N>Best all-around unit!",
"$BLURB_KNIGHT","Slowest class.<N>Hits single targets for high damage.<N>Can pierce/destroy armor.<N>Best against strong or armored enemies!",
"$BLURB_MAGE","Slows and freezes enemies.<N>Attacks at medium speed for light damage.<N>Best against fast enemies!",
"$BLURB_DRAGON","Heavy damage.<N>Can eat enemies and set them on fire.<N>Expensive, but awesome.",
"$BLURB_HEALER","Heals your allies.<N>Has a few light attacks.<N>Place wisely for best results!",
"$COLOR_EYE","Eye",
"$COLOR_SKIN","Skin",
"$COLOR_HAIR","Hair",
"$COLOR_PANTS","Pants",
"$COLOR_WEAPON","Weapon",
"$COLOR_ARMOR","Armor",
"$COLOR_DETAIL","Detail",
"$COLOR_TUNIC","Tunic",
"$COLOR_CLOAK","Cloak",
"$COLOR_ROBE","Robe",
"$COLOR_HIDE","Hide",
"$COLOR_OUTLINE","Outline",
"$END","End",
